project,method_id,criterion,presentation,system,slot,rank,points
jajuk,699,content,0,QWEN,2,2,3
jajuk,699,content,0,GPT,1,3,2
jajuk,699,content,0,MISTRAL,3,4,1
jajuk,699,content,1,QWEN,3,1,4
jajuk,699,content,1,CLAUDE,1,2,3
jajuk,699,content,1,MISTRAL,2,3,2
jajuk,699,content,1,GPT,4,4,1
jajuk,699,conciseness,0,GPT,4,1,4
jajuk,699,conciseness,0,CLAUDE,2,2,3
jajuk,699,conciseness,0,QWEN,3,3,2
jajuk,699,conciseness,0,MISTRAL,1,4,1
jajuk,699,conciseness,1,CLAUDE,3,1,4
jajuk,699,conciseness,1,QWEN,2,2,3
jajuk,699,conciseness,1,MISTRAL,4,3,2
jajuk,699,conciseness,1,GPT,1,4,1
jajuk,699,what,0,CLAUDE,4,1,4
jajuk,699,what,0,QWEN,3,2,3
jajuk,699,what,0,GPT,2,3,2
jajuk,699,what,0,MISTRAL,1,4,1
jajuk,699,what,1,QWEN,2,1,4
jajuk,699,what,1,CLAUDE,1,2,3
jajuk,699,what,1,GPT,3,3,2
jajuk,699,what,1,MISTRAL,4,4,1
jajuk,699,why,0,CLAUDE,2,1,4
jajuk,699,why,0,QWEN,4,2,3
jajuk,699,why,0,GPT,3,3,2
jajuk,699,why,0,MISTRAL,1,4,1
jajuk,699,why,1,CLAUDE,3,1,4
jajuk,699,why,1,QWEN,1,2,3
jajuk,699,why,1,GPT,2,3,2
jajuk,699,why,1,MISTRAL,4,4,1
jajuk,699,how,0,CLAUDE,2,1,4
jajuk,699,how,0,QWEN,3,2,3
jajuk,699,how,0,GPT,1,3,2
jajuk,699,how,0,MISTRAL,4,4,1
jajuk,699,how,1,QWEN,2,1,4
jajuk,699,how,1,GPT,4,2,3
jajuk,699,how,1,CLAUDE,3,3,2
jajuk,699,how,1,MISTRAL,1,4,1
jajuk,700,accuracy,0,GPT,2,1,4
jajuk,700,accuracy,0,CLAUDE,4,2,3
jajuk,700,accuracy,0,QWEN,1,3,2
jajuk,700,accuracy,0,MISTRAL,3,4,1
jajuk,700,accuracy,1,MISTRAL,2,1,4
jajuk,700,accuracy,1,CLAUDE,1,2,3
jajuk,700,accuracy,1,QWEN,4,3,2
jajuk,700,accuracy,1,GPT,3,4,1
jajuk,700,content,0,MISTRAL,2,1,4
jajuk,700,content,0,QWEN,1,2,3
jajuk,700,content,0,CLAUDE,3,3,2
jajuk,700,content,0,GPT,4,4,1
jajuk,700,content,1,CLAUDE,2,1,4
jajuk,700,content,1,QWEN,4,2,3
jajuk,700,content,1,MISTRAL,3,3,2
jajuk,700,content,1,GPT,1,4,1
jajuk,700,conciseness,0,GPT,4,1,4
jajuk,700,conciseness,0,CLAUDE,3,2,3
jajuk,700,conciseness,0,MISTRAL,2,3,2
jajuk,700,conciseness,0,QWEN,1,4,1
jajuk,700,conciseness,1,GPT,1,1,4
jajuk,700,conciseness,1,MISTRAL,3,2,3
jajuk,700,conciseness,1,CLAUDE,2,3,2
jajuk,700,conciseness,1,QWEN,4,4,1
jajuk,700,what,0,MISTRAL,2,1,4
jajuk,700,what,0,CLAUDE,1,2,3
jajuk,700,what,0,QWEN,3,3,2
jajuk,700,what,0,GPT,4,4,1
jajuk,700,what,1,QWEN,2,1,4
jajuk,700,what,1,CLAUDE,4,2,3
jajuk,700,what,1,MISTRAL,3,3,2
jajuk,700,what,1,GPT,1,4,1
jajuk,700,why,0,QWEN,2,1,4
jajuk,700,why,0,CLAUDE,1,2,3
jajuk,700,why,0,MISTRAL,3,3,2
jajuk,700,why,0,GPT,4,4,1
jajuk,700,why,1,CLAUDE,4,1,4
jajuk,700,why,1,QWEN,3,2,3
jajuk,700,why,1,GPT,1,3,2
jajuk,700,why,1,MISTRAL,2,4,1
jajuk,700,how,0,CLAUDE,2,1,4
jajuk,700,how,0,QWEN,1,2,3
jajuk,700,how,0,MISTRAL,3,3,2
jajuk,700,how,0,GPT,4,4,1
jajuk,700,how,1,CLAUDE,3,1,4
jajuk,700,how,1,QWEN,4,2,3
jajuk,700,how,1,MISTRAL,2,3,2
jajuk,700,how,1,GPT,1,4,1
jajuk,725,accuracy,0,CLAUDE,3,1,4
jajuk,725,accuracy,0,QWEN,4,2,3
jajuk,725,accuracy,0,MISTRAL,1,3,2
jajuk,725,accuracy,0,GPT,2,4,1
jajuk,725,accuracy,1,CLAUDE,2,1,4
jajuk,725,accuracy,1,MISTRAL,4,2,3
jajuk,725,accuracy,1,GPT,3,3,2
jajuk,725,accuracy,1,QWEN,1,4,1
jajuk,725,content,0,CLAUDE,3,1,4
jajuk,725,content,0,QWEN,1,2,3
jajuk,725,content,0,MISTRAL,2,3,2
jajuk,725,content,0,GPT,4,4,1
jajuk,725,content,1,CLAUDE,2,1,4
jajuk,725,content,1,QWEN,4,2,3
jajuk,725,content,1,MISTRAL,3,3,2
jajuk,725,content,1,GPT,1,4,1
jajuk,725,conciseness,0,MISTRAL,3,1,4
jajuk,725,conciseness,0,CLAUDE,2,2,3
jajuk,725,conciseness,0,GPT,4,3,2
jajuk,725,conciseness,0,QWEN,1,4,1
jajuk,725,conciseness,1,MISTRAL,2,1,4
jajuk,725,conciseness,1,QWEN,4,2,3
jajuk,725,conciseness,1,CLAUDE,3,3,2
jajuk,725,conciseness,1,GPT,1,4,1
jajuk,725,what,0,CLAUDE,3,1,4
jajuk,725,what,0,GPT,2,2,3
jajuk,725,what,0,MISTRAL,4,3,2
jajuk,725,what,0,QWEN,1,4,1
jajuk,725,what,1,CLAUDE,2,1,4
jajuk,725,what,1,QWEN,4,2,3
jajuk,725,what,1,MISTRAL,1,3,2
jajuk,725,what,1,GPT,3,4,1
jajuk,725,why,0,CLAUDE,3,1,4
jajuk,725,why,0,QWEN,2,2,3
jajuk,725,why,0,MISTRAL,4,3,2
jajuk,725,why,0,GPT,1,4,1
jajuk,725,why,1,CLAUDE,2,1,4
jajuk,725,why,1,QWEN,3,2,3
jajuk,725,why,1,MISTRAL,1,3,2
jajuk,725,why,1,GPT,4,4,1
jajuk,725,how,0,CLAUDE,3,1,4
jajuk,725,how,0,QWEN,2,2,3
jajuk,725,how,0,MISTRAL,1,3,2
jajuk,725,how,0,GPT,4,4,1
jajuk,725,how,1,CLAUDE,2,1,4
jajuk,725,how,1,QWEN,3,2,3
jajuk,725,how,1,MISTRAL,4,3,2
jajuk,725,how,1,GPT,1,4,1
jajuk,820,accuracy,0,MISTRAL,4,1,4
jajuk,820,accuracy,0,QWEN,1,2,3
jajuk,820,accuracy,0,GPT,3,3,2
jajuk,820,accuracy,0,CLAUDE,2,4,1
jajuk,820,accuracy,1,CLAUDE,3,1,4
jajuk,820,accuracy,1,QWEN,4,2,3
jajuk,820,accuracy,1,MISTRAL,1,3,2
jajuk,820,accuracy,1,GPT,2,4,1
jajuk,820,content,0,QWEN,2,1,4
jajuk,820,content,0,CLAUDE,1,2,3
jajuk,820,content,0,MISTRAL,4,3,2
jajuk,820,content,0,GPT,3,4,1
jajuk,820,content,1,CLAUDE,4,1,4
jajuk,820,content,1,MISTRAL,1,2,3
jajuk,820,content,1,QWEN,3,3,2
jajuk,820,content,1,GPT,2,4,1
jajuk,820,conciseness,0,GPT,4,1,4
jajuk,820,conciseness,0,QWEN,1,2,3
jajuk,820,conciseness,0,MISTRAL,2,3,2
jajuk,820,conciseness,0,CLAUDE,3,4,1
jajuk,820,conciseness,1,CLAUDE,2,1,4
jajuk,820,conciseness,1,QWEN,4,2,3
jajuk,820,conciseness,1,MISTRAL,3,3,2
jajuk,820,conciseness,1,GPT,1,4,1
jajuk,820,what,0,QWEN,2,1,4
jajuk,820,what,0,MISTRAL,3,2,3
jajuk,820,what,0,CLAUDE,4,3,2
jajuk,820,what,0,GPT,1,4,1
jajuk,820,what,1,CLAUDE,1,1,4
jajuk,820,what,1,QWEN,3,2,3
jajuk,820,what,1,MISTRAL,2,3,2
jajuk,820,what,1,GPT,4,4,1
jajuk,820,why,0,CLAUDE,2,1,4
jajuk,820,why,0,QWEN,1,2,3
jajuk,820,why,0,MISTRAL,3,3,2
jajuk,820,why,0,GPT,4,4,1
jajuk,820,why,1,MISTRAL,2,1,4
jajuk,820,why,1,QWEN,4,2,3
jajuk,820,why,1,CLAUDE,3,3,2
jajuk,820,why,1,GPT,1,4,1
jajuk,820,how,0,GPT,3,1,4
jajuk,820,how,0,CLAUDE,1,2,3
jajuk,820,how,0,QWEN,4,3,2
jajuk,820,how,0,MISTRAL,2,4,1
jajuk,820,how,1,CLAUDE,4,1,4
jajuk,820,how,1,QWEN,1,2,3
jajuk,820,how,1,MISTRAL,3,3,2
jajuk,820,how,1,GPT,2,4,1
jajuk,821,accuracy,0,GPT,2,1,4
jajuk,821,accuracy,0,MISTRAL,4,2,3
jajuk,821,accuracy,0,QWEN,3,3,2
jajuk,821,accuracy,0,CLAUDE,1,4,1
jajuk,821,accuracy,1,QWEN,2,1,4
jajuk,821,accuracy,1,MISTRAL,1,2,3
jajuk,821,accuracy,1,GPT,3,3,2
jajuk,821,accuracy,1,CLAUDE,4,4,1
jajuk,821,content,0,GPT,1,1,4
jajuk,821,content,0,QWEN,4,2,3
jajuk,821,content,0,MISTRAL,3,3,2
jajuk,821,content,0,CLAUDE,2,4,1
jajuk,821,content,1,MISTRAL,2,1,4
jajuk,821,content,1,QWEN,1,2,3
jajuk,821,content,1,GPT,4,3,2
jajuk,821,content,1,CLAUDE,3,4,1
jajuk,821,conciseness,0,GPT,3,1,4
jajuk,821,conciseness,0,QWEN,2,2,3
jajuk,821,conciseness,0,MISTRAL,1,3,2
jajuk,821,conciseness,0,CLAUDE,4,4,1
jajuk,821,conciseness,1,GPT,2,1,4
jajuk,821,conciseness,1,QWEN,3,2,3
jajuk,821,conciseness,1,MISTRAL,4,3,2
jajuk,821,conciseness,1,CLAUDE,1,4,1
jajuk,821,what,0,QWEN,2,1,4
jajuk,821,what,0,MISTRAL,3,2,3
jajuk,821,what,0,GPT,1,3,2
jajuk,821,what,0,CLAUDE,4,4,1
jajuk,821,what,1,CLAUDE,1,1,4
jajuk,821,what,1,MISTRAL,2,2,3
jajuk,821,what,1,GPT,4,3,2
jajuk,821,what,1,QWEN,3,4,1
jajuk,821,why,0,CLAUDE,1,1,4
jajuk,821,why,0,MISTRAL,2,2,3
jajuk,821,why,0,GPT,4,3,2
jajuk,821,why,0,QWEN,3,4,1
jajuk,821,why,1,QWEN,2,1,4
jajuk,821,why,1,MISTRAL,3,2,3
jajuk,821,why,1,GPT,1,3,2
jajuk,821,why,1,CLAUDE,4,4,1
jajuk,821,how,0,GPT,2,1,4
jajuk,821,how,0,CLAUDE,1,2,3
jajuk,821,how,0,MISTRAL,3,3,2
jajuk,821,how,0,QWEN,4,4,1
jajuk,821,how,1,GPT,3,1,4
jajuk,821,how,1,MISTRAL,2,2,3
jajuk,821,how,1,QWEN,1,3,2
jajuk,821,how,1,CLAUDE,4,4,1
jajuk,840,accuracy,0,MISTRAL,3,1,4
jajuk,840,accuracy,0,QWEN,2,2,3
jajuk,840,accuracy,0,GPT,4,3,2
jajuk,840,accuracy,0,CLAUDE,1,4,1
jajuk,840,accuracy,1,MISTRAL,2,1,4
jajuk,840,accuracy,1,GPT,1,2,3
jajuk,840,accuracy,1,QWEN,3,3,2
jajuk,840,accuracy,1,CLAUDE,4,4,1
jajuk,840,content,0,GPT,2,1,4
jajuk,840,content,0,QWEN,3,2,3
jajuk,840,content,0,MISTRAL,4,3,2
jajuk,840,content,0,CLAUDE,1,4,1
jajuk,840,content,1,GPT,3,1,4
jajuk,840,content,1,MISTRAL,1,2,3
jajuk,840,content,1,QWEN,2,3,2
jajuk,840,content,1,CLAUDE,4,4,1
jajuk,840,conciseness,0,GPT,4,1,4
jajuk,840,conciseness,0,CLAUDE,3,2,3
jajuk,840,conciseness,0,QWEN,2,3,2
jajuk,840,conciseness,0,MISTRAL,1,4,1
jajuk,840,conciseness,1,CLAUDE,2,1,4
jajuk,840,conciseness,1,MISTRAL,4,2,3
jajuk,840,conciseness,1,QWEN,3,3,2
jajuk,840,conciseness,1,GPT,1,4,1
jajuk,840,what,0,MISTRAL,2,1,4
jajuk,840,what,0,GPT,1,2,3
jajuk,840,what,0,QWEN,4,3,2
jajuk,840,what,0,CLAUDE,3,4,1
jajuk,840,what,1,MISTRAL,3,1,4
jajuk,840,what,1,QWEN,1,2,3
jajuk,840,what,1,GPT,4,3,2
jajuk,840,what,1,CLAUDE,2,4,1
jajuk,840,why,0,MISTRAL,2,1,4
jajuk,840,why,0,GPT,4,2,3
jajuk,840,why,0,QWEN,3,3,2
jajuk,840,why,0,CLAUDE,1,4,1
jajuk,840,why,1,QWEN,2,1,4
jajuk,840,why,1,MISTRAL,3,2,3
jajuk,840,why,1,GPT,1,3,2
jajuk,840,why,1,CLAUDE,4,4,1
jajuk,840,how,0,GPT,3,1,4
jajuk,840,how,0,CLAUDE,2,2,3
jajuk,840,how,0,MISTRAL,4,3,2
jajuk,840,how,0,QWEN,1,4,1
jajuk,840,how,1,GPT,2,1,4
jajuk,840,how,1,MISTRAL,1,2,3
jajuk,840,how,1,QWEN,4,3,2
jajuk,840,how,1,CLAUDE,3,4,1
jajuk,913,accuracy,0,MISTRAL,4,1,4
jajuk,913,accuracy,0,QWEN,2,2,3
jajuk,913,accuracy,0,CLAUDE,3,3,2
jajuk,913,accuracy,0,GPT,1,4,1
jajuk,913,accuracy,1,QWEN,3,1,4
jajuk,913,accuracy,1,MISTRAL,1,2,3
jajuk,913,accuracy,1,CLAUDE,2,3,2
jajuk,913,accuracy,1,GPT,4,4,1
jajuk,913,content,0,QWEN,4,1,4
jajuk,913,content,0,MISTRAL,1,2,3
jajuk,913,content,0,CLAUDE,2,3,2
jajuk,913,content,0,GPT,3,4,1
jajuk,913,content,1,MISTRAL,4,1,4
jajuk,913,content,1,QWEN,1,2,3
jajuk,913,content,1,CLAUDE,3,3,2
jajuk,913,content,1,GPT,2,4,1
jajuk,913,conciseness,0,QWEN,3,1,4
jajuk,913,conciseness,0,MISTRAL,4,2,3
jajuk,913,conciseness,0,CLAUDE,1,3,2
jajuk,913,conciseness,0,GPT,2,4,1
jajuk,913,conciseness,1,QWEN,2,1,4
jajuk,913,conciseness,1,MISTRAL,1,2,3
jajuk,913,conciseness,1,CLAUDE,4,3,2
jajuk,913,conciseness,1,GPT,3,4,1
jajuk,913,what,0,MISTRAL,2,1,4
jajuk,913,what,0,QWEN,1,2,3
jajuk,913,what,0,CLAUDE,4,3,2
jajuk,913,what,0,GPT,3,4,1
jajuk,913,what,1,MISTRAL,3,1,4
jajuk,913,what,1,QWEN,4,2,3
jajuk,913,what,1,CLAUDE,1,3,2
jajuk,913,what,1,GPT,2,4,1
jajuk,913,why,0,QWEN,2,1,4
jajuk,913,why,0,MISTRAL,4,2,3
jajuk,913,why,0,CLAUDE,1,3,2
jajuk,913,why,0,GPT,3,4,1
jajuk,913,why,1,MISTRAL,1,1,4
jajuk,913,why,1,QWEN,3,2,3
jajuk,913,why,1,GPT,2,3,2
jajuk,913,why,1,CLAUDE,4,4,1
jajuk,913,how,0,MISTRAL,1,1,4
jajuk,913,how,0,QWEN,4,2,3
jajuk,913,how,0,CLAUDE,2,3,2
jajuk,913,how,0,GPT,3,4,1
jajuk,913,how,1,MISTRAL,4,1,4
jajuk,913,how,1,QWEN,1,2,3
jajuk,913,how,1,CLAUDE,3,3,2
jajuk,913,how,1,GPT,2,4,1
jajuk,961,accuracy,0,CLAUDE,4,1,4
jajuk,961,accuracy,0,QWEN,2,2,3
jajuk,961,accuracy,0,MISTRAL,1,3,2
jajuk,961,accuracy,0,GPT,3,4,1
jajuk,961,accuracy,1,GPT,2,1,4
jajuk,961,accuracy,1,QWEN,3,2,3
jajuk,961,accuracy,1,CLAUDE,1,3,2
jajuk,961,accuracy,1,MISTRAL,4,4,1
jajuk,961,content,0,CLAUDE,2,1,4
jajuk,961,content,0,GPT,3,2,3
jajuk,961,content,0,MISTRAL,4,3,2
jajuk,961,content,0,QWEN,1,4,1
jajuk,961,content,1,CLAUDE,3,1,4
jajuk,961,content,1,GPT,2,2,3
jajuk,961,content,1,QWEN,4,3,2
jajuk,961,content,1,MISTRAL,1,4,1
jajuk,961,conciseness,0,CLAUDE,4,1,4
jajuk,961,conciseness,0,GPT,2,2,3
jajuk,961,conciseness,0,MISTRAL,3,3,2
jajuk,961,conciseness,0,QWEN,1,4,1
jajuk,961,conciseness,1,QWEN,4,1,4
jajuk,961,conciseness,1,CLAUDE,1,2,3
jajuk,961,conciseness,1,MISTRAL,2,3,2
jajuk,961,conciseness,1,GPT,3,4,1
jajuk,961,what,0,CLAUDE,4,1,4
jajuk,961,what,0,GPT,1,2,3
jajuk,961,what,0,MISTRAL,3,3,2
jajuk,961,what,0,QWEN,2,4,1
jajuk,961,what,1,GPT,4,1,4
jajuk,961,what,1,MISTRAL,2,2,3
jajuk,961,what,1,CLAUDE,1,3,2
jajuk,961,what,1,QWEN,3,4,1
jajuk,961,why,0,GPT,4,1,4
jajuk,961,why,0,MISTRAL,2,2,3
jajuk,961,why,0,CLAUDE,3,3,2
jajuk,961,why,0,QWEN,1,4,1
jajuk,961,why,1,CLAUDE,2,1,4
jajuk,961,why,1,GPT,1,2,3
jajuk,961,why,1,MISTRAL,3,3,2
jajuk,961,why,1,QWEN,4,4,1
jajuk,961,how,0,CLAUDE,4,1,4
jajuk,961,how,0,MISTRAL,1,2,3
jajuk,961,how,0,GPT,2,3,2
jajuk,961,how,0,QWEN,3,4,1
jajuk,961,how,1,QWEN,2,1,4
jajuk,961,how,1,GPT,3,2,3
jajuk,961,how,1,CLAUDE,1,3,2
jajuk,961,how,1,MISTRAL,4,4,1
jajuk,1019,accuracy,0,CLAUDE,4,1,4
jajuk,1019,accuracy,0,MISTRAL,2,2,3
jajuk,1019,accuracy,0,GPT,3,3,2
jajuk,1019,accuracy,0,QWEN,1,4,1
jajuk,1019,accuracy,1,GPT,2,1,4
jajuk,1019,accuracy,1,MISTRAL,3,2,3
jajuk,1019,accuracy,1,QWEN,4,3,2
jajuk,1019,accuracy,1,CLAUDE,1,4,1
jajuk,1019,content,0,CLAUDE,3,1,4
jajuk,1019,content,0,MISTRAL,1,2,3
jajuk,1019,content,0,GPT,4,3,2
jajuk,1019,content,0,QWEN,2,4,1
jajuk,1019,content,1,CLAUDE,2,1,4
jajuk,1019,content,1,MISTRAL,4,2,3
jajuk,1019,content,1,GPT,1,3,2
jajuk,1019,content,1,QWEN,3,4,1
jajuk,1019,conciseness,0,GPT,3,1,4
jajuk,1019,conciseness,0,MISTRAL,4,2,3
jajuk,1019,conciseness,0,CLAUDE,2,3,2
jajuk,1019,conciseness,0,QWEN,1,4,1
jajuk,1019,conciseness,1,QWEN,4,1,4
jajuk,1019,conciseness,1,CLAUDE,3,2,3
jajuk,1019,conciseness,1,GPT,2,3,2
jajuk,1019,conciseness,1,MISTRAL,1,4,1
jajuk,1019,what,0,GPT,4,1,4
jajuk,1019,what,0,QWEN,2,2,3
jajuk,1019,what,0,MISTRAL,3,3,2
jajuk,1019,what,0,CLAUDE,1,4,1
jajuk,1019,what,1,CLAUDE,4,1,4
jajuk,1019,what,1,MISTRAL,2,2,3
jajuk,1019,what,1,GPT,1,3,2
jajuk,1019,what,1,QWEN,3,4,1
jajuk,1019,why,0,QWEN,4,1,4
jajuk,1019,why,0,MISTRAL,2,2,3
jajuk,1019,why,0,GPT,3,3,2
jajuk,1019,why,0,CLAUDE,1,4,1
jajuk,1019,why,1,CLAUDE,4,1,4
jajuk,1019,why,1,GPT,2,2,3
jajuk,1019,why,1,MISTRAL,3,3,2
jajuk,1019,why,1,QWEN,1,4,1
jajuk,1019,how,0,QWEN,4,1,4
jajuk,1019,how,0,GPT,3,2,3
jajuk,1019,how,0,CLAUDE,2,3,2
jajuk,1019,how,0,MISTRAL,1,4,1
jajuk,1019,how,1,CLAUDE,3,1,4
jajuk,1019,how,1,GPT,2,2,3
jajuk,1019,how,1,MISTRAL,4,3,2
jajuk,1019,how,1,QWEN,1,4,1
jajuk,1062,accuracy,0,CLAUDE,2,1,4
jajuk,1062,accuracy,0,QWEN,1,2,3
jajuk,1062,accuracy,0,GPT,4,3,2
jajuk,1062,accuracy,0,MISTRAL,3,4,1
jajuk,1062,accuracy,1,QWEN,4,1,4
jajuk,1062,accuracy,1,CLAUDE,3,2,3
jajuk,1062,accuracy,1,MISTRAL,2,3,2
jajuk,1062,accuracy,1,GPT,1,4,1
jajuk,1062,content,0,CLAUDE,2,1,4
jajuk,1062,content,0,QWEN,1,2,3
jajuk,1062,content,0,GPT,3,3,2
jajuk,1062,content,0,MISTRAL,4,4,1
jajuk,1062,content,1,CLAUDE,3,1,4
jajuk,1062,content,1,QWEN,4,2,3
jajuk,1062,content,1,GPT,2,3,2
jajuk,1062,content,1,MISTRAL,1,4,1
jajuk,1062,conciseness,0,GPT,4,1,4
jajuk,1062,conciseness,0,QWEN,1,2,3
jajuk,1062,conciseness,0,MISTRAL,2,3,2
jajuk,1062,conciseness,0,CLAUDE,3,4,1
jajuk,1062,conciseness,1,CLAUDE,2,1,4
jajuk,1062,conciseness,1,QWEN,4,2,3
jajuk,1062,conciseness,1,GPT,1,3,2
jajuk,1062,conciseness,1,MISTRAL,3,4,1
jajuk,1062,what,0,QWEN,3,1,4
jajuk,1062,what,0,CLAUDE,4,2,3
jajuk,1062,what,0,MISTRAL,2,3,2
jajuk,1062,what,0,GPT,1,4,1
jajuk,1062,what,1,QWEN,2,1,4
jajuk,1062,what,1,CLAUDE,1,2,3
jajuk,1062,what,1,GPT,4,3,2
jajuk,1062,what,1,MISTRAL,3,4,1
jajuk,1062,why,0,CLAUDE,2,1,4
jajuk,1062,why,0,QWEN,1,2,3
jajuk,1062,why,0,MISTRAL,3,3,2
jajuk,1062,why,0,GPT,4,4,1
jajuk,1062,why,1,MISTRAL,2,1,4
jajuk,1062,why,1,QWEN,4,2,3
jajuk,1062,why,1,CLAUDE,3,3,2
jajuk,1062,why,1,GPT,1,4,1
jajuk,1062,how,0,CLAUDE,1,1,4
jajuk,1062,how,0,GPT,4,2,3
jajuk,1062,how,0,QWEN,3,3,2
jajuk,1062,how,0,MISTRAL,2,4,1
jajuk,1062,how,1,QWEN,2,1,4
jajuk,1062,how,1,CLAUDE,4,2,3
jajuk,1062,how,1,GPT,1,3,2
jajuk,1062,how,1,MISTRAL,3,4,1
jajuk,1210,accuracy,0,CLAUDE,4,1,4
jajuk,1210,accuracy,0,QWEN,1,2,3
jajuk,1210,accuracy,0,MISTRAL,2,3,2
jajuk,1210,accuracy,0,GPT,3,4,1
jajuk,1210,accuracy,1,QWEN,4,1,4
jajuk,1210,accuracy,1,CLAUDE,1,2,3
jajuk,1210,accuracy,1,MISTRAL,3,3,2
jajuk,1210,accuracy,1,GPT,2,4,1
jajuk,1210,content,0,QWEN,3,1,4
jajuk,1210,content,0,CLAUDE,2,2,3
jajuk,1210,content,0,MISTRAL,4,3,2
jajuk,1210,content,0,GPT,1,4,1
jajuk,1210,content,1,QWEN,2,1,4
jajuk,1210,content,1,CLAUDE,3,2,3
jajuk,1210,content,1,MISTRAL,1,3,2
jajuk,1210,content,1,GPT,4,4,1
jajuk,1210,conciseness,0,GPT,2,1,4
jajuk,1210,conciseness,0,CLAUDE,4,2,3
jajuk,1210,conciseness,0,MISTRAL,1,3,2
jajuk,1210,conciseness,0,QWEN,3,4,1
jajuk,1210,conciseness,1,GPT,3,1,4
jajuk,1210,conciseness,1,CLAUDE,1,2,3
jajuk,1210,conciseness,1,MISTRAL,4,3,2
jajuk,1210,conciseness,1,QWEN,2,4,1
jajuk,1210,what,0,QWEN,3,1,4
jajuk,1210,what,0,CLAUDE,2,2,3
jajuk,1210,what,0,MISTRAL,1,3,2
jajuk,1210,what,0,GPT,4,4,1
jajuk,1210,what,1,QWEN,2,1,4
jajuk,1210,what,1,CLAUDE,3,2,3
jajuk,1210,what,1,MISTRAL,4,3,2
jajuk,1210,what,1,GPT,1,4,1
jajuk,1210,why,0,QWEN,2,1,4
jajuk,1210,why,0,CLAUDE,1,2,3
jajuk,1210,why,0,MISTRAL,3,3,2
jajuk,1210,why,0,GPT,4,4,1
jajuk,1210,why,1,QWEN,3,1,4
jajuk,1210,why,1,MISTRAL,2,2,3
jajuk,1210,why,1,CLAUDE,4,3,2
jajuk,1210,why,1,GPT,1,4,1
jajuk,1210,how,0,CLAUDE,2,1,4
jajuk,1210,how,0,QWEN,4,2,3
jajuk,1210,how,0,GPT,1,3,2
jajuk,1210,how,0,MISTRAL,3,4,1
jajuk,1210,how,1,QWEN,1,1,4
jajuk,1210,how,1,CLAUDE,3,2,3
jajuk,1210,how,1,MISTRAL,2,3,2
jajuk,1210,how,1,GPT,4,4,1
jajuk,1214,accuracy,0,CLAUDE,2,1,4
jajuk,1214,accuracy,0,QWEN,1,2,3
jajuk,1214,accuracy,0,GPT,4,3,2
jajuk,1214,accuracy,0,MISTRAL,3,4,1
