project,method_name,class_name,gt_summary,llm_summary,cosine_similarity,bert_precision,bert_recall,bert_f1
jEdit,getToken,Parser,"This method gets the token and returns a Token. That Token is used by methods that jjtrees the open node scope and that jjtrees the close node scope. GetToken() seems far more important than average because it is called by 5 methods. The method can be used in an assignment statement ; for example: ""((SimpleNode)n).lastToken=getToken(0);"".","Retrieves a specific token from the parser's token stream, used in contexts such as assigning the first token of a `SimpleNode` during parsing operations.",0.2486841559894371,0.8634971,0.82572603,0.84418935
jEdit,jjFillToken,ParserTokenManager,"This method fills the token and returns a Token. That Token is used by some methods that gets the token. JjFillToken() seems far more important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""matchedToken=jjFillToken();"".","Creates and populates a new `Token` object with the current matched token's metadata (such as kind, image, and position). Used during lexical analysis when a token has been successfully matched and needs to be constructed for further parsing.",0.22393855096560347,0.8446556,0.83848137,0.8415571
jEdit,getNextToken,ParserTokenManager,"This method gets the token and returns a Token. That Token is used by methods that gets the token and that gets the token. GetNextToken() seems far more important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""else t=t.next=token_source.getNextToken();"".",Retrieves and returns the next token from the input stream by advancing the lexer state. Manages token transitions and handles any lexical errors encountered during tokenization.,0.3245519162349123,0.8547958,0.8274878,0.8409202
jEdit,getSourceFile,SimpleNode,This method gets the source file and returns a String. That String is used by methods that gets the source file and that converts the string. Return data is used by some methods that gets the source file. Return data is used by some methods that converts the string. GetSourceFile() seems far more important than average because it is called by 5 methods.,"Returns the source file associated with this node, delegating to the parent node if the current node's source file is null. Used conditionally to traverse up the node hierarchy until a non-null source file is found.",0.2788433405518979,0.8428403,0.83915377,0.84099305
jEdit,getLineCount,JEditBuffer,"This method gets the line count and returns an int. That int is used by methods that gets the visible line int - and that expands the fold. GetLineCount() seems far more important than average because it is called by 10 methods. The method can be used in an assignment statement ; for example: ""if (line < 0 || line >= buffer.getLineCount()) throw new ArrayIndexOutOfBoundsException(line);"".","Returns the total number of lines in the buffer, typically used in bounds-checking conditions to validate that a given line index is within the valid range.",0.29643040018005096,0.865831,0.8221875,0.84344506
jEdit,getLineStartOffset,JEditBuffer,"This method gets the line start offset and returns an int. That int is used by methods that gets the line length and that gets the line start offset. GetLineStartOffset() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""return buffer.getLineStartOffset(line);"".","Returns the start offset of the specified line within the buffer, commonly used in conjunction with `getLineEndOffset` to calculate line lengths or define text ranges for editing operations.",0.31443359798147325,0.87624735,0.8530013,0.86446804
jEdit,getLineCount,LineManager,"This method gets the line count and returns an int. That int is used by methods that gets the line count and that gets the line start offset. GetLineCount() seems far more important than average because it is called by 8 methods. The method can be used in an assignment statement ; for example: ""if (line < 0 || line >= lineMgr.getLineCount()) throw new ArrayIndexOutOfBoundsException(line);"".",Returns the total number of lines managed by the `LineManager` instance.,0.15744442864975272,0.8719858,0.8108241,0.84029347
jEdit,invoke,BshMethod,This method invokes the object and returns an Object. Invoke() seems far more important than average because it is not called by any methods.,"Invokes the BshMethod and returns the resulting value, serving as an entry point for method execution within the BeanShell interpreter context.",0.18826538853489744,0.86631674,0.87307066,0.8696806
jEdit,getMethod,NameSpace,This method gets the method and returns a BshMethod. GetMethod() seems far more important than average because it is not called by any methods.,"Retrieves a `BshMethod` by name and signature, delegating to an overloaded version with a default `false` parameter for additional lookup behavior.",0.07482088380580834,0.8387206,0.8686043,0.8534009
jEdit,getSourceFile,SimpleNode,This method gets the source file and returns a String. That String is used by methods that gets the source file and that converts the string. Return data is used by some methods that gets the source file. Return data is used by some methods that converts the string. GetSourceFile() seems far more important than average because it is called by 5 methods.,Returns the source file associated with this node by delegating to its parser context.,0.20950652244454976,0.8496344,0.83023024,0.83982027
jajuk,popupMenuCanceled,DropDownButton,This method handles the popup menu canceled. PopupMenuCanceled() seems less important than average because it is not called by any methods.,Handles the cancellation event of the popup menu by ensuring the button's pressed state is properly reset or updated when the user dismisses the menu without making a selection.,0.22584520540710576,0.8617187,0.8683238,0.86500865
jajuk,getGenre,AudioObject,This method gets the genre and returns a String. GetGenre() seems less important than average because it is not called by any methods.,Returns the genre associated with the audio object as a String value.,0.183098716523523,0.8841214,0.8626435,0.8732504
jajuk,setImage,ContextListener,This method sets the image. SetImage() seems less important than average because it is called by 4 methods.,Sets the image associated with the context listener. This method is a setter intended to assign or update the image property of the `ContextListener` instance.,0.26422925087325566,0.87010914,0.8846749,0.8773315
jajuk,getArtistSimilarCacheDir,LastFmCache,"This method gets the artist similar cache dir and returns a File. GetArtistSimilarCacheDir() seems less important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""File artistSimilarCacheDirFile=getArtistSimilarCacheDir();"".","Returns the directory used for caching artist similarity data, intended for use in cache management operations such as cleaning or accessing cached similar-artist results.",0.18836677213256073,0.86440456,0.8369565,0.8504591
jajuk,getFileNameForArtistInfo,LastFmCache,"This method gets the file name (NM) and returns a String. GetFileNameForArtistInfo() seems less important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""return UtilString.concat(albumListCacheDirFile.getAbsolutePath(),File.separator,getFileNameForArtistInfo(artist));"".",Returns the file path string for an artist's cached info by concatenating the cache directory's absolute path with the appropriate filename for the given artist.,0.24417196913680045,0.8564654,0.8234945,0.8396564
jajuk,handleDirectories,Collection,"This method handles the directories. HandleDirectories() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""handleDirectories(attributes,idIndex);"".",Handles directory-related processing by operating on a collection using the provided attributes and an index identifier. Called procedurally to manage directory entries within the collection context.,0.12735952979479362,0.8644138,0.8350115,0.84945834
jajuk,GenreManager,GenreManager,This method creates the genre manager and returns a genremanager. GenreManager() seems less important than average because it is not called by any methods.,"Constructs a new `GenreManager` instance, initializing it with the necessary dependencies or default state by invoking two internal setup calls.",0.1321680218747427,0.85905075,0.87307453,0.86600584
jajuk,getType,PropertyMetaInformation,"This method gets the type and returns a Class<?> GetType() seems less important than average because it is called by 4 methods. The method can be used in an assignment statement ; for example: ""bCellEditable[iRow][iNumberStandardCols + i]=!(meta.getType().equals(Date.class));"".",Returns the type associated with this property meta information as a `Class<?>` object.,0.21020263747292953,0.85679686,0.809714,0.8325904
jajuk,getDiscoveryDate,Track,"This method gets the discovery date and returns a Date. GetDiscoveryDate() seems less important than average because it is called by 10 methods. The method can be used in an assignment statement ; for example: ""long diff=today.getTime() - track.getDiscoveryDate().getTime();"".",Returns the discovery date associated with this track. Typically used in assignment contexts when building string representations or other data aggregations involving track metadata.,0.2077502894064166,0.846161,0.819477,0.8326053
jajuk,updateRate,Track,"This method updates the rate. UpdateRate() seems less important than average because it is called by 4 methods. The method can be used in a procedural statement ; for example: ""fCurrent.getTrack().updateRate();"".","Updates the track's rate by recalculating or refreshing the relevant rate-related state, called as a standalone procedural operation with no parameters or return value.",0.18366865576931904,0.8592724,0.8469949,0.85308945
jajuk,isAutocommit,TrackManager,This method is the autocommit and returns a boolean. IsAutocommit() seems less important than average because it is not called by any methods.,Returns whether autocommit mode is currently enabled for the track manager.,0.1858948798899543,0.86636126,0.85832244,0.86232305
jajuk,getURL,Cover,"This method gets the URL and returns an URL. GetURL() seems less important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""return url.toString().equals(cOther.getURL().toString());"".","Returns the URL associated with this `Cover` object, used for comparison purposes such as checking URL equality between cover instances.",0.20802956551655422,0.8476913,0.83250093,0.84002745
jajuk,subList,QueueList,"This method subs the list and returns a List<StackItem>. SubList() seems less important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""List<StackItem> items=impl.subList(1,3);"".",Returns a sublist of `StackItem` elements from the specified index to the end of the internal list by delegating to `ArrayList.subList` and wrapping the result in a new `ArrayList`.,0.27450463667063685,0.8549047,0.84199965,0.84840304
jajuk,process,XMLExporter,This method processes the collection. Process() seems less important than average because it is not called by any methods.,"Processes a list of items by exporting them to XML format, iterating over each item and writing its data using the XMLExporter's output logic. Typically called with a collection retrieved from a manager instance, such as `DeviceManager.getInstance().getItems()`.",0.10751096010529312,0.830805,0.87339246,0.8515667
jajuk,perform,GCAction,This method handles the perform. Perform() seems less important than average because it is not called by any methods.,Executes the garbage collection action by invoking the Java runtime's garbage collector. Typically called through the `ActionManager` to trigger manual GC from within the application's action framework.,0.11771430172322346,0.8415378,0.86076385,0.8510423
jajuk,getItemAt,PlaylistTableModel,This method gets the item int and returns an Item. GetItemAt() seems less important than average because it is not called by any methods.,Retrieves and returns an `Item` object at a specified position within the playlist table model's data structure.,0.17584856015958633,0.849628,0.8583675,0.8539754
jajuk,handleSave,CoverView,This method handles save the cover view. HandleSave() seems less important than average because it is not called by any methods.,"Handles the save operation by delegating to `handleSaveAs()`, serving as a procedural entry point for triggering a save-as workflow within the `CoverView` class.",0.1450094923886983,0.85529554,0.87971675,0.86733425
jajuk,updateGUIFromConfCovers,ParameterViewGUIHelper,"This method updates the GUI (P). UpdateGUIFromConfCovers() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""updateGUIFromConfCovers();"".","Updates the GUI components to reflect the current configuration coverage settings, typically called to synchronize the interface state with underlying configuration data.",0.1518120836827832,0.8566759,0.82699585,0.8415743
jajuk,getNothingFoundPanel,SuggestionView,"This method gets the found panel and returns a JPanel. GetNothingFoundPanel() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""return new JScrollPane(getNothingFoundPanel());"".","Returns a JPanel indicating that no results were found, used as the content of a JScrollPane when a suggestion search yields no matches.",0.12753363923135932,0.87291384,0.83907545,0.85566026
jajuk,getID,ViewAdapter,"This method gets the ID and returns a String. GetID() seems less important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""return ""View[name="" + getID() + "" description='""+ getDesc()+ ""']"";"".","Returns the unique identifier of the view adapter, commonly used when setting XML properties or referencing the adapter in configurations such as album metadata assignments.",0.14965335899421672,0.85713965,0.8083973,0.8320553
jajuk,paint,JajukJSplitPane,This method paints the graphics. Paint() seems less important than average because it is not called by any methods.,"Overrides the paint method to apply a one-time divider location adjustment before delegating to the superclass rendering, ensuring the split pane initializes with the correct proportional divider position on first paint.",0.1362190669885885,0.8418902,0.8740419,0.8576649
jajuk,JajukJSplitPane,JajukJSplitPane,This method creates the jajuk J split pane and returns a jajukjsplitpane. JajukJSplitPane() seems less important than average because it is not called by any methods.,"Creates a new `JajukJSplitPane` instance, serving as the constructor for this custom split pane component.",0.22974030730604153,0.88791734,0.8786274,0.8832479
jajuk,getOptionPane,PasswordDialog,This method gets the option pane and returns a JOptionPane. GetOptionPane() seems less important than average because it is not called by any methods.,"Returns the `JOptionPane` instance associated with this `PasswordDialog`, providing access to the underlying option pane component for configuration or retrieval purposes.",0.18377737981528997,0.8660244,0.88077456,0.8733372
jajuk,closeSystray,JajukSystray,This method closes the systray. CloseSystray() seems less important than average because it is not called by any methods.,"Closes and removes the system tray icon, cleaning up the systray resources when the application shuts down or the tray is no longer needed.",0.16054256207827047,0.85788727,0.861861,0.85986954
jajuk,WindowGlobalKeystrokeManager,WindowGlobalKeystrokeManager,This method creates the window global keystroke manager and returns a windowglobalkeystrokemanager. WindowGlobalKeystrokeManager() seems less important than average because it is not called by any methods.,"Constructs a new `WindowGlobalKeystrokeManager` instance, serving as the entry point for managing global keystroke handling across windows. Typically used in assignment context to initialize a single manager instance, as in `self = new WindowGlobalKeystrokeManager()`.",0.1385865286128485,0.8724589,0.88889617,0.8806008
jhotdraw,createAlignmentMenu,DrawApplication,This method creates the alignment menu and returns a JMenu. CreateAlignmentMenu() seems less important than average because it is not called by any methods.,"Creates and returns a `JMenu` for alignment-related actions, which is added to the menu bar via `addMenuIfPossible`.",0.25686117035578815,0.8736819,0.8788282,0.8762475
jhotdraw,getCommand,CommandMenuItem,"This method gets the command and returns a Command. GetCommand() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""getCommand().execute();"".","Returns the `Command` associated with this menu item, intended for use when executing the command directly, as in `getCommand().execute()`.",0.30785799609369396,0.87275374,0.8640951,0.86840284
jhotdraw,getComponent,ComponentFigure,"This method gets the component and returns a Component. GetComponent() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""getComponent().setBounds(displayBox());"".","Returns the AWT `Component` associated with this figure, used to retrieve the component for operations such as setting its bounds or other display-related configurations.",0.20231209354336188,0.84901226,0.8397505,0.844356
jhotdraw,createUndoActivity,PolygonScaleHandle,"This method creates the undo activity and returns an Undoable. CreateUndoActivity() seems less important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""PolygonScaleHandle.UndoActivity activity=(PolygonScaleHandle.UndoActivity)createUndoActivity(view);"".","Creates and returns a new `UndoActivity` instance associated with the given drawing view, enabling undo support for polygon scale handle operations. It is called during scaling interactions and its result is assigned to track the undoable state of the transformation.",0.2402514602876426,0.86653423,0.85876507,0.86263216
jhotdraw,invokeEnd,TriangleRotationHandle,This method invokes the end. InvokeEnd() seems less important than average because it is not called by any methods.,"Finalizes or terminates the invocation of an end operation on a `TriangleRotationHandle`, likely cleaning up state or committing a rotation interaction when the user releases or completes a drag gesture.",0.06273993900848465,0.8302135,0.8611529,0.84540015
jhotdraw,AttributeFigureContentProducer,AttributeFigureContentProducer,This method creates the attribute figure content producer and returns an attributefigurecontentproducer. AttributeFigureContentProducer() seems less important than average because it is not called by any methods.,"Creates a new `AttributeFigureContentProducer` instance, serving as the default constructor for this class.",0.16136825906116636,0.86876136,0.8514716,0.86002964
jhotdraw,markFontDirty,HTMLTextAreaFigure,"This method marks the font dirty. MarkFontDirty() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""markFontDirty();"".","Marks the font as dirty to signal that it needs to be recalculated or refreshed, typically called when font-related properties change in an `HTMLTextAreaFigure`.",0.17998032999760374,0.84474355,0.8448078,0.8447757
jhotdraw,setURL,URLContentProducer,"This method sets the URL. SetURL() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""setURL(new URL(dr.readString()));"".","Sets the URL for this content producer, used to configure the source location from which content will be retrieved.",0.21373674227535683,0.86944604,0.83332396,0.85100186
jhotdraw,ZoomDrawingView,ZoomDrawingView,This method creates the zoom drawing view and returns a zoomdrawingview. ZoomDrawingView() seems less important than average because it is not called by any methods.,"Creates and initializes a new `ZoomDrawingView` instance, serving as the constructor for a zoomable drawing view component.",0.21999071272861553,0.8848019,0.8855868,0.8851942
jhotdraw,getTypingTarget,TextTool,"This method gets the typing target and returns a TextHolder. GetTypingTarget() seems less important than average because it is called by 5 methods. The method can be used in a procedural statement ; for example: ""return new TextTool.UndoActivity(view(),getTypingTarget().getText());"".","Returns the current typing target, which is the `TextHolder` object that is actively receiving text input. Used conditionally to check whether a typing target exists before performing text-related operations.",0.19348219710516382,0.8771186,0.8447026,0.8606054
jhotdraw,createButtons,JavaDrawApplet,This method creates the buttons. CreateButtons() seems less important than average because it is not called by any methods.,Creates and initializes the button components for the JavaDrawApplet interface. This method sets up the UI button elements used within the applet's drawing toolbar or control panel.,0.15273658958431252,0.87005544,0.87792397,0.873972
jhotdraw,deactivate,AbstractTool,"This method deactivates the abstract tool. Deactivate() seems less important than average because it is called by 9 methods. The method can be used in a procedural statement ; for example: ""super.deactivate();"".",Deactivates the current tool by clearing its active value and performing any necessary cleanup. Called without arguments as part of the tool lifecycle when the tool needs to be disabled or switched out.,0.20051454555277673,0.85328084,0.8482941,0.8507801
jhotdraw,findConnectableFigure,ChangeConnectionHandle,"This method finds the connectable figure and returns a Figure. FindConnectableFigure() seems less important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""Figure target=findConnectableFigure(x,y,drawing);"".","Finds and returns a connectable figure at the specified coordinates within the given drawing, used during connection handle interactions to identify valid connection targets.",0.2280304965819192,0.87605286,0.8445233,0.8599992
jhotdraw,findConnectionTarget,ConnectionHandle,"This method finds the connection target and returns a Connector. FindConnectionTarget() seems less important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""Connector target=findConnectionTarget(x,y,view.drawing());"".","Locates and returns the `Connector` at the specified coordinates within the given drawing, serving as the target for a connection operation. Typically called during connection handle interactions to resolve the endpoint of a connector being drawn or moved.",0.29547813774544185,0.859275,0.8390378,0.84903586
jhotdraw,getPrototypeFigure,CreationTool,"This method gets the prototype figure and returns a Figure. GetPrototypeFigure() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""if (getPrototypeFigure() == null) {"".","Returns the prototype figure associated with this creation tool, typically used to check whether a prototype figure has been set before proceeding with a creation operation.",0.1722680029444824,0.86247367,0.83485,0.8484371
jhotdraw,selectionHandles,StandardDrawingView,"This method gets the selection handles and returns a HandleEnumeration. SelectionHandles() seems less important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""HandleEnumeration he=selectionHandles();"".","Returns an enumeration of handles for the current selection, typically used to retrieve and iterate over interactive control points associated with selected drawing elements.",0.1660094143472522,0.86429316,0.8297687,0.84667915
jhotdraw,drawingInvalidated,StandardDrawingView,This method handles the drawing invalidated. DrawingInvalidated() seems less important than average because it is not called by any methods.,Handles invalidation events from the drawing model by triggering a repaint of the view to reflect any changes made to the drawing's contents.,0.19703171171758388,0.8664497,0.86761594,0.8670324
jhotdraw,keyTyped,StandardDrawingView,This method handles the key typed. KeyTyped() seems less important than average because it is not called by any methods.,"Handles a key-typed event within the drawing view, serving as an implementation of the key listener interface method that responds when a key is typed by the user.",0.2814428957389746,0.8707047,0.8739986,0.87234855
jhotdraw,NullToolTest,NullToolTest,This method creates the null tool test and returns a nulltooltest. NullToolTest() seems less important than average because it is not called by any methods.,"Constructs a new `NullToolTest` instance, serving as the default constructor for the test class.",0.152000507213235,0.87157726,0.8703116,0.87094396
jhotdraw,testVault,OffsetLocatorTest,This method tests the vault. TestVault() seems less important than average because it is not called by any methods.,Tests the vault-related offset location functionality to verify correct behavior when locating offsets within a vault context.,0.12080938583903487,0.8727957,0.864954,0.86885715
jhotdraw,StandardFigureSelectionTest,StandardFigureSelectionTest,This method creates the standard figure selection test and returns a standardfigureselectiontest. StandardFigureSelectionTest() seems less important than average because it is not called by any methods.,"Creates a new instance of `StandardFigureSelectionTest`, serving as the default constructor for this test class.",0.18631099153362102,0.87544775,0.8677563,0.8715851
jhotdraw,setUp,ClipboardTest,This method sets up the clipboard test. SetUp() seems less important than average because it is not called by any methods.,Initializes the test environment by invoking the superclass `setUp` method to prepare the necessary preconditions before each test case in `ClipboardTest` runs.,0.20012560470731236,0.8537406,0.87274826,0.8631398
jhotdraw,addStorageFormat,StorageFormatManager,"This method adds the storage format storage format -. AddStorageFormat() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""storageFormatManager.addStorageFormat(format);"".","Registers a new storage format with the manager, as demonstrated by adding the default storage format to the `StorageFormatManager` instance.",0.3188996566427359,0.8816723,0.85354674,0.8673816
jhotdraw,setUndoActivity,UndoableCommand,This method sets the undo activity. SetUndoActivity() seems less important than average because it is not called by any methods.,"Sets the undo activity associated with this undoable command, replacing any previously assigned activity.",0.25255035628530237,0.88653874,0.87292415,0.8796788
jhotdraw,commandExecuted,UndoableCommand,This method handles the command executed. CommandExecuted() seems less important than average because it is not called by any methods.,Marks the command as having been executed by setting the internal executed state to true.,0.1907846505787963,0.8678279,0.86662596,0.8672265
jtopas,getTokenizerProperties,AbstractTokenizer,"This method gets the tokenizer properties and returns a TokenizerProperties. That TokenizerProperties is used by methods that is the flag set and that is the flag set. GetTokenizerProperties() seems far more important than average because it is called by 5 methods. The method can be used in an assignment statement ; for example: ""return prop.isFlagSet(flag,(getTokenizerProperties().getParseFlags() & flag) != 0 || isFlagSet(flag));"".","Returns the `TokenizerProperties` associated with this tokenizer, providing access to configuration such as parse flags used to control tokenization behavior.",0.11970926710456394,0.86292845,0.820374,0.8411133
jtopas,getBaseTokenizer,AbstractTokenizer,"This method gets the base tokenizer and returns an AbstractTokenizer. That AbstractTokenizer is used by methods that reads the data and that gets the base data provider. GetBaseTokenizer() seems far more important than average because it is called by 4 methods. The method can be used in a procedural statement ; for example: ""return getBaseTokenizer().getDataProvider(startPos,length);"".","Returns the base tokenizer associated with this instance, typically used to access the underlying tokenizer in assignment contexts where the base implementation is needed.",0.2956520123589328,0.88016623,0.840451,0.8598503
jtopas,getBaseDataProvider,AbstractTokenizer,"This method gets the base data provider and returns a DataProvider. That DataProvider is used by methods that gets the char and that reads the whitespaces. GetBaseDataProvider() seems far more important than average because it is called by 6 methods. The method can be used in a procedural statement ; for example: ""return getBaseDataProvider(pos,1).getCharAt(0);"".","Returns the base `DataProvider` instance used by the tokenizer, typically accessed to retrieve underlying character or data content at a given position.",0.23750491496558923,0.8568558,0.8348136,0.845691
jtopas,readMoreDataFromBase,AbstractTokenizer,"This method reads the data and returns an int. That int is used by methods that is the whitespace and that is the whitespace. ReadMoreDataFromBase() seems far more important than average because it is called by 10 methods. The method can be used in an assignment statement ; for example: ""if (_currentReadPos + offset >= _currentWritePos && readMoreDataFromBase() < 0) {"".","Reads additional data from the underlying base source into the tokenizer's buffer, returning an integer result indicating the outcome. Called internally by the tokenizer when more input data is needed during the tokenization process.",0.29220542224846086,0.85595816,0.81738603,0.8362276
jtopas,isFlagSet,AbstractTokenizer,This method is the flag set and returns a boolean. IsFlagSet() seems far more important than average because it is not called by any methods.,"Checks whether a specific flag is set on the tokenizer, returning true if the flag is active. Commonly used in conditional logic to control tokenizer behavior based on configuration flags.",0.1681149558235858,0.85085595,0.8577687,0.85429835
jtopas,doGetProperty,AbstractTokenizerProperties,"This method does get the property and returns a TokenizerProperty. That TokenizerProperty is used by methods that gets the block comment and that gets the special sequence. DoGetProperty() seems far more important than average because it is called by 7 methods. The method can be used in a procedural statement ; for example: ""return doGetProperty(Token.PATTERN,pattern);"".","Retrieves a `TokenizerProperty` associated with a given token type and starting sequence, serving as a core lookup method called by multiple higher-level property accessors within the tokenizer framework.",0.20249733814964652,0.8604909,0.8440845,0.8522088
jtopas,getString,AbstractTokenizerProperties,"This method gets the EQUIV[string string and returns a TokenizerProperty. That TokenizerProperty is used by methods that gets the string companion and that removes the EQUIV[string string. GetString() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""return getString(start) != null;"".",Retrieves a `TokenizerProperty` associated with a given string token. Typically used in assignment contexts to look up tokenizer configuration for a specific string pattern.,0.20366708252234506,0.8683841,0.83214235,0.84987706
