base_project,folder,project_path,filename,summary_human,summary_nlg,bleu_4,nist_4,rouge_l_f,frugal_score
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,Monitor.java,The Monitor class is a Concrete Element implementing the ComputerPart interface to allow operations from a visitor.,"visitor: Monitor acts as an element for visitor ComputerPartVisitor, which is inherited by, which accepts ComputerPartVisitor parameter of computerPartVisitor. Monitor acts as an element for visitor, which overrides accept method of ComputerPart. It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Monitor is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.",0.015269400375417219,0.45820451835824955,0.11904761904761904,0.5970394611358643
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,Mouse.java,The Mouse class is a Concrete Element implementing the ComputerPart interface to support visitor operations.,"visitor: Mouse acts as an element for visitor, which overrides accept method of ComputerPart. Mouse acts as an element for visitor ComputerPartVisitor, which is inherited by, which accepts ComputerPartVisitor parameter of computerPartVisitor. It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Mouse is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.",0.015269400375417219,0.4515690263413157,0.12195121951219512,0.5804584622383118
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,Test.java,The Test class serves as a Client demonstrating the use of the pattern by applying a visitor to a Computer component.,It is a public class. The only method of Test is main (void). No methods call main and main calls only one method : accept method of class ComputerPart.,0.01996819088094332,0.6711307897304104,0.12244897959183672,0.5347638130187988
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/AbstractFactory,GUIFactory.java,The GUIFactory interface defines an Abstract Factory setting the framework for creating families of related GUI products without specifying concrete classes.,"abstract_factory: GUIFactory acts as an abstract factory for Button, CheckBox, which is inherited by WindowsOSFactory, MacOSFactory. It is a public interface. The 2 methods of GUIFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.",0.03468535963417663,0.6827707876446018,0.16666666666666666,0.5705676674842834
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Client,Application.java,"The Application class acts as a Client in the Abstract Factory design pattern, using a GUIFactory to create and manage related GUI components.","facade: Application acts as a subsystem for facade Test, which main method of Test calls paint. It is a public class. The only method of Application is paint (void). Only one method ( main method of class Test ) calls paint and paint calls no methods.",0.03958529875422186,0.754283992010366,0.1791044776119403,0.5432689189910889
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/ConcreteFactory,MacOSFactory.java,"The MacOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create MacOS specific GUI components.","abstract_factory: MacOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that extends GUIFactory and that implements GUIFactory. The 2 methods of MacOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.",0.016823497628899228,0.4680040659110573,0.12987012987012986,0.6289386749267578
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/ConcreteFactory,WindowsOSFactory.java,"The WindowOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create Windows OS specific GUI components.","abstract_factory: WindowsOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that extends GUIFactory and that implements GUIFactory. The 2 methods of WindowsOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.",0.01618749300949399,0.40711101709582836,0.10256410256410256,0.621621310710907
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,Button.java,Button is a product interface in Abstract Factory having a paint method,"abstract_factory: Button acts as an abstract product for Button, which is inherited by WindowsButton, MacOSButton. It is a public interface. The only method of Button is paint (void). No methods call paint and paint calls no methods.",0.03351542279475122,0.7481000001559257,0.23999999999999996,0.6258183717727661
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,CheckBox.java,Checkbox is a product interface in Abstract Factory having a paint method,"abstract_factory: CheckBox acts as an abstract product for CheckBox, which is inherited by WindowsCheckBox, MacOSCheckBox. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.",0.03351542279475122,0.7481000001559257,0.23999999999999996,0.6428484916687012
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,MacOSButton.java,The MacOSButton class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the MacOS platform.,"abstract_factory: MacOSButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that extends Button and that implements Button. The only method of MacOSButton is paint (void). No methods call paint and paint calls no methods.",0.026102690624143405,1.0158069768783549,0.20588235294117646,0.622695803642273
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,MacOSCheckBox.java,The MacOSCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the MacOS platform.,"abstract_factory: MacOSCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that extends CheckBox and that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.",0.026102690624143405,1.0158069768783549,0.20588235294117646,0.6375622153282166
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,WindowsButton.java,The Windows Button class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the Windows platform.,"abstract_factory: WindowsButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that extends Button and that implements Button. The only method of WindowsButton is paint (void). No methods call paint and paint calls no methods.",0.026102690624143405,0.966805653097559,0.17391304347826086,0.5897015333175659
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory/Products,WindowsCheckBox.java,The WindowsCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the Windows platform.,"abstract_factory: WindowsCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that extends CheckBox and that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.",0.026102690624143405,1.0158069768783549,0.20588235294117646,0.6354422569274902
AbdurRKhalid,AbstractFactory,AbdurRKhalid/Creational/Abstract Factory,Test.java,The Test class serves as a Client demonstrating the creation and usage of a Windows specific application interface,"facade: Test acts as a facade for subsystem Application, which main calls paint method of Application. It is a public class. The only method of Test is main (void). No methods call main and main calls only one method : paint method of class Application.",0.024240945815868543,0.7847573866586548,0.22580645161290322,0.5502375960350037
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/Client,Test.java,The Test class is a Client demonstrating how to create and utilize a specific dialog that generates buttons.,It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,0.04546308713404574,1.091797727666085,0.19999999999999998,0.5330609083175659
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/ConcreteCreator,HtmlDialog.java,The HtmlDialog class is a Concrete Creator extending the Dialog class to produce HTML specific buttons.,"factory_method: HtmlDialog acts as a factory for Dialog, which overrides. It is a public class that extends Dialog. The only method of HtmlDialog is createButton (Button). No methods call createButton and createButton calls no methods.",0.02779473872463728,0.6285714285714286,0.23076923076923078,0.6413347721099854
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/ConcreteCreator,WindowsDialog.java,The WindowsDialog class is a Concrete Creator extending the Dialog class to produce Windows specific buttons.,"factory_method: WindowsDialog acts as a factory for Dialog, which overrides. It is a public class that extends Dialog. The only method of WindowsDialog is createButton (Button). No methods call createButton and createButton calls no methods.",0.02779473872463728,0.6285714285714286,0.23076923076923078,0.6276759505271912
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/ConcreteProduct,HtmlButton.java,"The HtmlButton class is a Concrete Product, implementing the Button interface to provide an HTML specific button functionality.","factory_method: HtmlButton acts as a product for Dialog, which overrides render method of Button, onClick method of Button. It is a public class that extends Button and that implements Button. The 2 methods of HtmlButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class HtmlButton. Only one method ( render method of class HtmlButton ) calls onClick and onClick calls no methods.",0.014390351492516705,0.4275971832611056,0.11111111111111113,0.6135241985321045
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/ConcreteProduct,WindowsButton.java,"The WindowsButton class is a Concrete Product, implementing the Button interface to provide a Windows specific button functionality.","factory_method: WindowsButton acts as a product for Dialog, which overrides render method of Button, onClick method of Button. It is a public class that extends Button and that implements Button. The 2 methods of WindowsButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class WindowsButton. Only one method ( render method of class WindowsButton ) calls onClick and onClick calls no methods.",0.014820386596780333,0.45815950722508186,0.13333333333333333,0.6060521602630615
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/Factory,Dialog.java,The Dialog class is an Abstract Creator providing a template for creating dialogs that can generate buttons.,"factory_method: Dialog acts as a factory method for Button, which is inherited by WindowsDialog, HtmlDialog. It is a public abstract class. The 2 methods of Dialog are renderWindow (void) and createButton (Button). No methods call renderWindow and renderWindow calls only one method : createButton method of class Dialog. Only one method ( renderWindow method of class Dialog ) calls createButton and createButton calls no methods.",0.009507105644202003,0.46148774014116745,0.125,0.5706108212471008
AbdurRKhalid,FactoryMethod,AbdurRKhalid/Creational/Factory Method/Product,Button.java,The Button interface defines a Product establishing a contract for button components that can be created by concrete creators.,"factory_method: Button acts as an abstract product for Dialog, which is inherited by WindowsButton, HtmlButton. It is a public interface. The 2 methods of Button are render (void) and onClick (void). No methods call render and render calls no methods. No methods call onClick and onClick calls no methods.",0.012521439270315574,0.6323146960724221,0.11594202898550725,0.5426323413848877
AbdurRKhalid,Memento,AbdurRKhalid/Behavioral/Memento/CareTaker,TextEditor.java,"This class implements the caretaker for the Memento pattern for a text editor. It uses TextWindow as the originator and TextWindowState as the memento to save and restore text state. hitSave() stores the current state, and hitUndo() restores the previously saved state.","memento: TextEditor acts as a caretaker for memento TextWindowState, which hits Save, which hits Undo. It is a public class. The 2 methods of TextEditor are hitSave (void) and hitUndo (void). No methods call hitSave and hitSave calls no methods. No methods call hitUndo and hitUndo calls no methods.",0.02978116934066751,1.5623512513141848,0.21978021978021978,0.709776759147644
AbdurRKhalid,Memento,AbdurRKhalid/Behavioral/Memento/Memento,TextWindowState.java,"This class represents the Memento in the pattern. It stores the text state of a TextWindow in an immutable way, providing a getText() method to retrieve the saved content.","memento: TextWindowState acts as a memento, which gets Text. It is a public class. The only method of TextWindowState is getText (String). No methods call getText and getText calls no methods.",0.02132776083719243,1.4380583855250235,0.19999999999999998,0.6874111890792847
AbdurRKhalid,Memento,AbdurRKhalid/Behavioral/Memento/Originator,TextWindow.java,"This class represents Memento pattern enabling saving and restoring text in a TextWindow. TextWindowState stores text snapshots, TextWindow creates and restores these states, and TextEditor acts as caretaker, providing hitSave() and hitUndo() to manage text history.","memento: TextWindow acts as an originator for memento TextWindowState, which saves TextWindowState, which restores TextWindowState parameter of save. It is a public class. The 3 methods of TextWindow are addText (void), save (TextWindowState) and restore (void). No methods call addText and addText calls no methods. No methods call save and save calls no methods. No methods call restore and restore calls no methods.",0.018361578353608805,0.908079762202382,0.20202020202020202,0.7214848399162292
AbdurRKhalid,Singleton,AbdurRKhalid/Creational/Singleton/Singleton,Singleton.java,"This class implements the Singleton pattern, ensuring only one instance exists. getInstance() creates the instance if null and returns it; the constructor is private to prevent direct instantiation. The instance holds a value string.","singleton: Singleton acts as a singleton, which gets a Singleton Instance to. It is a public class. The only method of Singleton is getInstance (Singleton). No methods call getInstance and getInstance calls no methods.",0.0198233498451766,1.5405037868538993,0.14705882352941177,0.6819010972976685
AbdurRKhalid,Singleton,AbdurRKhalid/Creational/Singleton/Client,Test.java,"The test class is a client. and makes two calls to getInstance() with different values return the same instance, proving only one object exists.",It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,0.044607952581027316,1.5708531531798073,0.21739130434782608,0.607966423034668
AbdurRKhalid,Adapter,AbdurRKhalid/Structural/Adapter/Adapte,SquarePeg.java,"SquarePeg is an adaptee that represents a square peg with a given width. It provides methods to retrieve the width and calculate its area (getSquare()), which returns the square of the width using Math.pow().","adapter: SquarePeg acts as an adaptee for adapter SquarePegAdapter, which adapts to RoundPeg, which adapts to RoundPeg. It is a public class. The 2 methods of SquarePeg are getWidth (double) and getSquare (double). No methods call getWidth and getWidth calls no methods. No methods call getSquare and getSquare calls no methods.",0.022814920872137788,1.2567787592071258,0.16279069767441862,0.6798001527786255
AbdurRKhalid,Adapter,AbdurRKhalid/Structural/Adapter/Adapter,SquarePegAdapter.java,"SquarePegAdapter is an adapter that adapts a SquarePeg to behave like a RoundPeg. It overrides getRadius() to calculate an equivalent radius for the square peg using the formula based on its width, enabling compatibility with round hole logic in the Adapter pattern.","adapter: SquarePegAdapter acts as an adapter, which adapts to RoundPeg. It is a public class that extends RoundPeg. The only method of SquarePegAdapter is getRadius (double). No methods call getRadius and getRadius calls no methods.",0.03633557513066639,1.6029690417482976,0.2077922077922078,0.7293999195098877
AbdurRKhalid,Adapter,AbdurRKhalid/Structural/Adapter/Target,RoundHole.java,"RoundHole is a target adapter representing a circular hole with a fixed radius. It provides getRadius() and a fits() method to check if a given RoundPeg can fit inside by comparing their radii, forming part of the Adapter pattern for compatibility between round and square pegs.",It is a public class. The 2 methods of RoundHole are getRadius (double) and fit (boolean). No methods call getRadius and getRadius calls no methods. No methods call fit and fit calls no methods.,0.027200598782936933,1.0186964905518654,0.19999999999999998,0.6210808753967285
AbdurRKhalid,Adapter,AbdurRKhalid/Structural/Adapter/Target,RoundPeg.java,"RoundPeg is a target adapter that represents a circular peg with a radius. It provides constructors for initialization and a getRadius() method to retrieve the radius, serving as the target interface in the Adapter pattern for compatibility with RoundHole.","adapter: RoundPeg acts as a target for adapter SquarePegAdapter, which adapts to RoundPeg. It is a public class. The only method of RoundPeg is getRadius (double). No methods call getRadius and getRadius calls no methods.",0.04102931409376559,1.9513781229557057,0.2162162162162162,0.7141873836517334
AbdurRKhalid,Adapter,AbdurRKhalid/Structural/Adapter,Test.java,"This test demonstrates is a client. A RoundHole checks if a RoundPeg fits, then uses SquarePegAdapter to adapt square pegs for compatibility. The output confirms that a small square peg fits while a large one does not, validating the adapter’s role in bridging incompatible interfaces.",It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,0.013799403367404999,0.08608005367937144,0.08823529411764705,0.4567795395851135
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/Component,DataSource.java,"DataSource is an Decorator interface defining two methods: writeData(String data) for storing data and readData() for retrieving it. It serves as the base component in the Decorator pattern, allowing flexible extension of data handling functionality.","decorator: DataSource acts as a component for DataSourceDecorator, which is inherited by FileDataSource, FileDataSource. It is a public interface. The 2 methods of DataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.   facade: DataSource acts as a subsystem for facade Test, which main method of Test calls readData. It is a public interface. The 2 methods of DataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.",0.011288570522171049,0.7823513638723782,0.16438356164383564,0.7675973773002625
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/ConcreteComponent,FileDataSource.java,"FileDataSource is a concrete component implementation of DataSource that reads and writes data to a file. It uses FileOutputStream for writing and FileReader for reading, handling I/O exceptions gracefully. This class acts as the core component in the Decorator pattern for file-based storage.","decorator: FileDataSource acts as a component for decorator DataSourceDecorator, which overrides writeDataDataSource, readDataDataSource. It is a public class that extends DataSource and that implements DataSource. The 2 methods of FileDataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. No methods call readData and readData calls no methods.",0.027354982748434956,1.5884544469793207,0.1414141414141414,0.7120367884635925
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/ConcreteDecorator,CompressionDecorator.java,CompressionDecorator is a concrete decorator that extends DataSourceDecorator to add transparent compression. It Base64-encodes compressed data when writing (using Deflater with configurable level) and decodes/decompresses when reading (using Inflater). This decorates any DataSource with compress/decompress behavior without changing the underlying component.,"decorator: CompressionDecorator acts as a decorator for decorator DataSourceDecorator, which overrides writeData method of DataSourceDecorator, readData method of DataSourceDecorator. It is a public class that extends DataSourceDecorator. The 6 methods of CompressionDecorator are getCompressionLevel (int), setCompressionLevel (void), writeData (void), readData (String), compress (String) and decompress (String). No methods call getCompressionLevel and getCompressionLevel calls no methods. No methods call setCompressionLevel and setCompressionLevel calls no methods. No methods call writeData and writeData calls only one method : compress method of class CompressionDecorator. No methods call readData and readData calls no methods. Only one method ( writeData method of class CompressionDecorator ) calls compress and compress calls no methods. No methods call decompress and decompress calls no methods.",0.018641380884479967,0.5849391019968533,0.14102564102564102,0.6519071459770203
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/ConcreteDecorator,EncryptionDecorator.java,"EncryptionDecorator is a concrete decorator that adds simple encoding/decoding to any DataSource. On write, it shifts each byte by +1 and Base64-encodes; on read, it Base64-decodes and shifts bytes back by −1. It transparently layers encryption behavior without modifying the wrapped component.","decorator: EncryptionDecorator acts as a decorator for decorator DataSourceDecorator, which overrides writeData method of DataSourceDecorator, readData method of DataSourceDecorator. It is a public class that extends DataSourceDecorator. The 4 methods of EncryptionDecorator are writeData (void), readData (String), encode (String) and decode (String). No methods call writeData and writeData calls only one method : encode method of class EncryptionDecorator. No methods call readData and readData calls no methods. Only one method ( writeData method of class EncryptionDecorator ) calls encode and encode calls no methods. No methods call decode and decode calls no methods.",0.011638031287210138,0.5093523929582879,0.14814814814814814,0.6117606163024902
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/Decorator,DataSourceDecorator.java,DataSourceDecorator is an abstract decorator implementing DataSource. It holds a reference to another DataSource (wrappee) and delegates writeData() and readData() calls to it. This class forms the base for concrete decorators that add extra functionality without altering the original component.,"decorator: DataSourceDecorator acts as a decorator for component DataSource, which is inherited by EncryptionDecorator, CompressionDecorator. It is a public class that extends DataSource and that implements DataSource. The 2 methods of DataSourceDecorator are writeData (void) and readData (String). Only one method ( main method of class Test ) calls writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.   facade: DataSourceDecorator acts as a subsystem for facade Test, which main method of Test calls writeData, which main method of Test calls readData. It is a public class that extends DataSource and that implements DataSource. The 2 methods of DataSourceDecorator are writeData (void) and readData (String). Only one method ( main method of class Test ) calls writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.",0.01621472988609396,0.6536362972906451,0.16304347826086957,0.6909830570220947
AbdurRKhalid,Decorator,AbdurRKhalid/Structural/Decorator/Decorator,Test.java,"This Java code demonstrates the Decorator pattern. It writes salary data to a file, applying encryption and compression decorators then reads and prints the original, encoded, and decoded data.","facade: Test acts as a facade for subsystem DataSourceDecorator, DataSource, which main calls writeData method of DataSourceDecorator, readData method of DataSource, readData method of DataSourceDecorator. It is a public class. The only method of Test is main (void). No methods call main and main calls 3 methods : writeData method of class DataSourceDecorator, readData method of class DataSource and readData method of class DataSourceDecorator.",0.008597935375255784,0.3193647614951674,0.08695652173913042,0.5249679684638977
AbdurRKhalid,Facade,AbdurRKhalid/Structural/Facade,AudioMixer.java,"AudioMixer is a part of a facade pattern. It simulates audio processing for video files. Its fix() method prints a message indicating audio adjustment and returns a temporary File object, representing the processed output.","facade: AudioMixer acts as a subsystem for facade VideoConversionFacade, which convertVideo method of VideoConversionFacade calls fix. It is a public class. The only method of AudioMixer is fix (File). Only one method ( convertVideo method of class VideoConversionFacade ) calls fix and fix calls no methods.",0.03160328811392314,1.4122049303694186,0.1794871794871795,0.6776010394096375
